,playerid,Name,Position(s),Team,Salary,dollar_value,Surplus,Values,Adjusted,Overall_Value,R,HR,RBI,SB,ex_AVE,K,W,SV,ex_WHIP,ex_ERA,Group,Tier,Stuff+,brl_percent,brl_percentile,whiff_percent
3017,sa3014718,None,Not Available,FA,0.0,0.0,0.0,-1.6368982906654335,0.0,0.0,0.0753,0.014100000000000001,0.0722,0.0051,-0.08235890000000001,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3018,sa3015574,None,Not Available,FA,0.0,0.0,0.0,-1.637996151002886,0.0,0.0,0.077,0.011600000000000001,0.069,0.0098,-0.09060830000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3019,sa3016171,None,Not Available,FA,0.0,0.0,0.0,-1.6372834996508627,0.0,0.0,0.0765,0.010400000000000001,0.0708,0.0083,-0.0847196,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3020,sa3015860,None,Not Available,FA,0.0,0.0,0.0,-1.6430075618024178,0.0,0.0,0.0608,0.0048000000000000004,0.0582,0.012100000000000001,-0.10452910000000001,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3021,sa3021193,None,Not Available,FA,0.0,0.0,0.0,-1.6428538021096615,0.0,0.0,0.06470000000000001,0.0103,0.0669,0.0078000000000000005,-0.10661750000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3022,sa3021199,None,Not Available,FA,0.0,0.0,0.0,-1.64055809233572,0.0,0.0,0.06960000000000001,0.0105,0.0659,0.0079,-0.09695990000000002,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3023,16561,None,Not Available,FA,0.0,0.0,0.0,-9.908940601260703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.06114,6.731243999999999,0.0,-37.016132000000006,-28.054786666666672,0,10,78.0,0.0,0.0,0.0
3024,sa3004053,None,Not Available,FA,0.0,0.0,0.0,-1.6404754597547289,0.0,0.0,0.0746,0.0173,0.0717,0.012700000000000001,-0.1108904,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3025,sa3021845,None,Not Available,FA,0.0,0.0,0.0,-1.6371844912399554,0.0,0.0,0.0737,0.007200000000000001,0.068,0.0082,-0.07994930000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3026,sa3022537,None,Not Available,FA,0.0,0.0,0.0,-1.6372172219898875,0.0,0.0,0.0763,0.0166,0.0747,0.0097,-0.09239920000000001,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3027,sa3022702,None,Not Available,FA,0.0,0.0,0.0,-1.6372269290701167,0.0,0.0,0.0743,0.009300000000000001,0.0704,0.0126,-0.08796540000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3028,sa3019927,None,Not Available,FA,0.0,0.0,0.0,-1.6372316253792498,0.0,0.0,0.0799,0.015300000000000001,0.0742,0.0051,-0.0866257,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3029,sa3016864,None,Not Available,FA,0.0,0.0,0.0,-1.637241983963127,0.0,0.0,0.0765,0.0187,0.0786,0.01,-0.09573040000000002,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3030,sa3020716,None,Not Available,FA,0.0,0.0,0.0,-1.6372537350040859,0.0,0.0,0.0766,0.0134,0.0707,0.0162,-0.09659040000000002,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3031,sa3018919,None,Not Available,FA,0.0,0.0,0.0,-1.6372778601381244,0.0,0.0,0.07150000000000001,0.0073,0.061500000000000006,0.023700000000000002,-0.0967491,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3032,sa3020346,None,Not Available,FA,0.0,0.0,0.0,-1.637170028672234,0.0,0.0,0.076,0.0172,0.0748,0.0073,-0.08979290000000004,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3033,sa3022813,None,Not Available,FA,0.0,0.0,0.0,-1.6371454679921214,0.0,0.0,0.0781,0.009300000000000001,0.07050000000000001,0.0102,-0.08568610000000002,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3034,sa3019527,None,Not Available,FA,0.0,0.0,0.0,-1.6372936276446985,0.0,0.0,0.07200000000000001,0.012100000000000001,0.0708,0.0094,-0.086446,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3035,sa3008784,None,Not Available,FA,0.0,0.0,0.0,-1.6373194618363847,0.0,0.0,0.0794,0.0109,0.0694,0.0088,-0.08628590000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3036,sa3015536,None,Not Available,FA,0.0,0.0,0.0,-1.6373319483196362,0.0,0.0,0.0747,0.0123,0.07010000000000001,0.0129,-0.09145790000000004,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3037,sa3007827,None,Not Available,FA,0.0,0.0,0.0,-1.6373565811146773,0.0,0.0,0.077,0.0143,0.0727,0.0102,-0.09132440000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3038,sa3017660,None,Not Available,FA,0.0,0.0,0.0,-1.6373596243491393,0.0,0.0,0.0814,0.0149,0.0724,0.0073,-0.08942220000000001,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
